Timestamp,ACC_X,ACC_Y,ACC_Z,BVP,EDA,Condition
1565006321000.0,-28,54,-19,-0.0,0.0,0
1565006321250.0,-10,60,-63,-0.05,0.413696,0
1565006321500.0,41,-4,93,6.2,0.4534,0
1565006321750.0,-87,64,-63,22.9,0.455962,0
1565006322000.0,-68,22,13,93.76,0.406011,0
1565006322250.0,-22,29,37,208.53,0.399607,0
1565006322500.0,-25,-28,74,-537.22,0.399607,0
1565006322750.0,-60,21,37,72.05,0.38551799999999997,0
1565006323000.0,-48,-3,42,144.06,0.37399099999999996,0
1565006323250.0,-38,1,47,49.99,0.37399099999999996,0
1565006323500.0,-48,2,34,36.49,0.37271,0
1565006323750.0,-58,3,22,-22.87,0.37399099999999996,0
1565006324000.0,-39,-2,10,4.68,0.370149,0
1565006324250.0,-59,23,13,59.11,0.363745,0
1565006324500.0,-61,-21,6,149.62,0.365025,0
1565006324750.0,-66,0,3,75.2,0.359902,0
1565006325000.0,-62,2,3,-0.06,0.35734099999999996,0
1565006325250.0,-64,3,4,-40.45,0.358622,0
1565006325500.0,-62,3,10,-235.93,0.359902,0
1565006325750.0,-62,3,13,-477.51,0.358622,0
1565006326000.0,-61,3,15,83.16,0.358622,0
1565006326250.0,-61,3,16,59.54,0.35734099999999996,0
1565006326500.0,-60,4,17,130.58,0.35734099999999996,0
1565006326750.0,-59,3,20,84.34,0.35606,0
1565006327000.0,-59,3,21,36.31,0.354779,0
1565006327250.0,-59,3,22,17.5,0.35606,0
1565006327500.0,-57,4,24,-8.33,0.353498,0
1565006327750.0,-57,3,25,-0.35,0.354779,0
1565006328000.0,-57,3,26,-16.54,0.354779,0
1565006328250.0,-56,3,26,-0.17,0.354779,0
1565006328500.0,-56,3,26,-9.93,0.354779,0
1565006328750.0,-56,3,25,-12.11,0.353498,0
1565006329000.0,-56,0,22,-6.48,0.353498,0
1565006329250.0,-65,-14,18,-14.73,0.352218,0
1565006329500.0,-52,-5,39,-9.96,0.350937,0
1565006329750.0,-49,-1,37,-39.05,0.352218,0
1565006330000.0,-53,0,35,-130.1,0.353498,0
1565006330250.0,-48,0,37,-69.96,0.350937,0
1565006330500.0,-48,-6,41,237.37,0.353498,0
1565006330750.0,-48,-15,36,22.41,0.352218,0
1565006331000.0,-55,1,28,7.44,0.353498,0
1565006331250.0,-55,-5,32,2.77,0.352218,0
1565006331500.0,-52,-3,33,-105.8,0.352218,0
1565006331750.0,-54,-4,31,-374.87,0.353498,0
1565006332000.0,-75,1,22,352.39,0.350937,0
1565006332250.0,-64,1,4,-64.41,0.335567,0
1565006332500.0,-64,-1,-13,67.02,0.335567,0
1565006332750.0,-64,4,-11,28.5,0.34965599999999997,0
1565006333000.0,-64,5,0,20.69,0.353498,0
1565006333250.0,-55,-1,20,-103.09,0.34069,0
1565006333500.0,-54,-1,30,-175.66,0.33941,0
1565006333750.0,-56,-2,28,-191.57,0.34069,0
1565006334000.0,-59,16,20,-98.78,0.341971,0
1565006334250.0,-58,-24,22,101.74,0.353498,0
1565006334500.0,-61,16,18,376.47,0.34965599999999997,0
1565006334750.0,-55,7,29,300.92,0.348375,0
1565006335000.0,-45,16,35,40.25,0.395764,0
1565006335250.0,-52,16,33,-336.37,0.477735,0
1565006335500.0,-52,17,33,-78.21,0.48029700000000003,0
1565006335750.0,-52,17,31,144.01,0.472612,0
1565006336000.0,-53,16,30,129.09,0.466208,0
1565006336250.0,-54,16,30,186.73,0.462366,0
