Timestamp,ACC_X,ACC_Y,ACC_Z,BVP,EDA,Condition
1559654817000.0,-60,16,7,-0.0,0.0,0
1559654817250.0,-64,17,11,-0.05,0.055048,0
1559654817500.0,-60,17,10,6.2,0.084492,0
1559654817750.0,-60,18,11,22.9,0.087052,0
1559654818000.0,-61,19,12,93.76,0.085772,0
1559654818250.0,-60,19,13,208.53,0.084492,0
1559654818500.0,-60,20,15,-537.23,0.084492,0
1559654818750.0,-59,18,15,71.43,0.08321100000000001,0
1559654819000.0,-59,17,13,141.3,0.08193099999999999,0
1559654819250.0,-59,16,14,37.45,0.080651,0
1559654819500.0,-59,17,16,1.99,0.078091,0
1559654819750.0,-59,17,15,-3.23,0.079371,0
1559654820000.0,-59,16,15,-14.24,0.079371,0
1559654820250.0,-59,17,17,21.7,0.07681,0
1559654820500.0,-60,16,15,19.41,0.078091,0
1559654820750.0,-60,16,16,9.12,0.07681,0
1559654821000.0,-59,16,16,-15.92,0.07553,0
1559654821250.0,-59,16,15,-4.44,0.07553,0
1559654821500.0,-59,17,16,0.69,0.07553,0
1559654821750.0,-59,18,16,-1.08,0.07553,0
1559654822000.0,-59,20,18,6.07,0.07425,0
1559654822250.0,-59,19,17,-0.34,0.07425,0
1559654822500.0,-59,19,17,1.92,0.07425,0
1559654822750.0,-59,19,17,-0.36,0.07297000000000001,0
1559654823000.0,-59,19,18,2.57,0.07169,0
1559654823250.0,-63,26,24,1.22,0.07425,0
1559654823500.0,-58,7,-1,6.34,0.07425,0
1559654823750.0,-63,11,-18,-2.38,0.07297000000000001,0
1559654824000.0,-51,7,-35,-2.31,0.07425,0
1559654824250.0,-41,11,-45,-26.19,0.07425,0
1559654824500.0,-23,2,-59,-55.71,0.07169,0
1559654824750.0,-41,2,-72,-191.77,0.07041,0
1559654825000.0,-52,9,32,-293.36,0.07297000000000001,0
1559654825250.0,-54,10,40,2.01,0.07425,0
1559654825500.0,-47,37,55,367.41,0.07425,0
1559654825750.0,-21,3,65,628.85,0.079371,0
1559654826000.0,-28,11,60,1015.54,0.079371,0
1559654826250.0,-28,2,56,-673.98,0.07681,0
1559654826500.0,-29,2,55,-194.6,0.07681,0
1559654826750.0,-24,9,54,-124.99,0.07681,0
1559654827000.0,-50,9,42,-69.67,0.07553,0
1559654827250.0,-47,11,42,34.82,0.07553,0
1559654827500.0,-52,13,32,66.46,0.07553,0
1559654827750.0,-54,15,30,33.75,0.07553,0
1559654828000.0,-52,15,31,29.97,0.07553,0
1559654828250.0,-54,18,33,-14.75,0.07681,0
1559654828500.0,-54,19,31,45.57,0.07553,0
1559654828750.0,-55,20,29,19.71,0.07681,0
1559654829000.0,-53,21,29,-36.87,0.07425,0
1559654829250.0,-53,21,27,-44.13,0.07553,0
1559654829500.0,-55,20,21,-28.25,0.07425,0
1559654829750.0,-56,21,26,-2.66,0.07553,0
1559654830000.0,-58,19,23,-3.11,0.07553,0
1559654830250.0,-57,14,17,-8.15,0.07553,0
1559654830500.0,-59,12,17,5.75,0.07553,0
1559654830750.0,-66,13,8,-8.53,0.07553,0
1559654831000.0,-61,15,2,-32.72,0.07553,0
1559654831250.0,-60,18,8,-35.23,0.07425,0
1559654831500.0,-61,18,11,-24.85,0.07425,0
1559654831750.0,-60,14,4,-24.78,0.07425,0
1559654832000.0,-62,16,3,60.15,0.07169,0
1559654832250.0,-61,15,4,31.59,0.07297000000000001,0
1559654832500.0,-62,16,4,-14.66,0.07297000000000001,0
1559654832750.0,-62,17,3,-38.67,0.07169,0
1559654833000.0,-60,17,2,86.14,0.07169,0
1559654833250.0,-62,17,6,36.2,0.07297000000000001,0
1559654833500.0,-60,18,5,-7.24,0.07297000000000001,0
1559654833750.0,-61,19,8,-22.51,0.07169,0
1559654834000.0,-58,21,6,-19.86,0.07425,0
1559654834250.0,-58,24,5,-29.16,0.07553,0
1559654834500.0,-58,24,0,-21.23,0.07297000000000001,0
1559654834750.0,-59,23,-6,39.46,0.07425,0
1559654835000.0,-52,24,-9,17.08,0.07297000000000001,0
1559654835250.0,-54,16,-19,-48.33,0.07169,0
1559654835500.0,-56,15,-25,-117.37,0.07169,0
1559654835750.0,-55,15,-29,-82.17,0.07169,0
1559654836000.0,-54,16,-35,28.26,0.07169,0
1559654836250.0,-50,16,-34,38.84,0.07169,0
1559654836500.0,-52,13,-34,14.71,0.07169,0
1559654836750.0,-61,25,-36,52.1,0.07169,0
1559654837000.0,-52,34,-20,40.99,0.07297000000000001,0
1559654837250.0,-61,4,-4,46.7,0.07297000000000001,0
1559654837500.0,-61,17,5,9.77,0.07041,0
1559654837750.0,-57,25,16,7.85,0.07169,0
1559654838000.0,-57,21,15,60.96,0.07297000000000001,0
